Round,Team,Opponent,Result,Venue,GF,GA,xG,xGA,Poss
Matchweek 1,Chelsea,Liverpool,D,Home,1,1,1.4,1.3,65
Matchweek 2,Chelsea,West Ham,L,Away,1,3,2.5,1.8,75
Matchweek 3,Chelsea,Luton-Town,W,Home,3,0,2.2,0.4,67
Matchweek 4,Chelsea,Nottingham-Forest,L,Home,0,1,2.3,0.8,75
Matchweek 5,Chelsea,Bournemouth,D,Away,0,0,1.8,1.0,64
Matchweek 6,Chelsea,Aston-Villa,L,Home,0,1,1.3,1.0,53
Matchweek 7,Chelsea,Fulham,W,Away,2,0,1.7,1.1,44
Matchweek 8,Chelsea,Burnley,W,Away,4,1,1.9,0.7,62
Matchweek 9,Chelsea,Arsenal,D,Home,2,2,1.3,1.0,44
Matchweek 10,Chelsea,Brentford,L,Home,0,2,1.9,2.2,68
Matchweek 11,Chelsea,Tottenham,W,Away,4,1,4.1,0.9,60
Matchweek 12,Chelsea,Manchester-City,D,Home,4,4,2.9,2.9,45
Matchweek 13,Chelsea,Newcastle Utd,L,Away,1,4,0.5,2.4,46
Matchweek 14,Chelsea,Brighton,W,Home,3,2,2.1,1.1,32
Matchweek 15,Chelsea,Manchester Utd,L,Away,1,2,1.5,4.1,55
Matchweek 16,Chelsea,Everton,L,Away,0,2,0.9,1.2,71
Matchweek 17,Chelsea,Sheffield Utd,W,Home,2,0,3.1,0.4,78
Matchweek 18,Chelsea,Wolves,L,Away,1,2,2.0,1.3,68
Matchweek 19,Chelsea,Crystal-Palace,W,Home,2,1,2.6,1.1,63
Matchweek 20,Chelsea,Luton-Town,W,Away,3,2,1.5,2.3,48
Matchweek 21,Chelsea,Fulham,W,Home,1,0,2.2,0.8,55
Matchweek 22,Chelsea,Liverpool,L,Away,1,4,0.6,2.9,50
Matchweek 23,Chelsea,Wolves,L,Home,2,4,1.7,2.0,64
Matchweek 24,Chelsea,Crystal-Palace,W,Away,3,1,1.4,0.6,77
Matchweek 25,Chelsea,Manchester-City,D,Away,1,1,1.4,2.6,30
Matchweek 27,Chelsea,Brentford,D,Away,2,2,1.8,1.8,67
Matchweek 28,Chelsea,Newcastle Utd,W,Home,3,2,1.6,0.7,44
Matchweek 30,Chelsea,Burnley,D,Home,2,2,4.2,1.6,69
Matchweek 31,Chelsea,Manchester Utd,W,Home,4,3,3.0,1.5,57
Matchweek 32,Chelsea,Sheffield Utd,D,Away,2,2,0.3,1.4,68
Matchweek 33,Chelsea,Everton,W,Home,6,0,3.1,1.5,58
Matchweek 29,Chelsea,Arsenal,L,Away,0,5,1.6,3.3,55
Matchweek 35,Chelsea,Aston-Villa,D,Away,2,2,1.6,1.1,71
Matchweek 26,Chelsea,Tottenham,W,Home,2,0,2.2,1.6,37
Matchweek 36,Chelsea,West Ham,W,Home,5,0,4.1,0.9,69
Matchweek 37,Chelsea,Nottingham-Forest,W,Away,3,2,1.6,1.5,67
Matchweek 34,Chelsea,Brighton,W,Away,2,1,1.5,1.3,45
Matchweek 38,Chelsea,Bournemouth,W,Home,2,1,1.1,2.2,61
