Round,Tackles,Int
Matchweek 1,18,8
Matchweek 2,22,8
Matchweek 3,15,7
Matchweek 4,15,8
Matchweek 5,16,4
Matchweek 6,13,7
Matchweek 7,32,4
Matchweek 8,4,10
Matchweek 9,16,6
Matchweek 10,14,6
Matchweek 11,13,6
Matchweek 12,17,3
Matchweek 13,21,11
Matchweek 14,15,7
Matchweek 15,16,6
Matchweek 16,23,7
Matchweek 17,17,7
Matchweek 18,20,3
Matchweek 19,21,20
Matchweek 20,14,8
Matchweek 21,21,9
Matchweek 22,20,13
Matchweek 23,18,5
Matchweek 24,25,8
Matchweek 25,14,13
Matchweek 26,14,9
Matchweek 27,19,10
Matchweek 28,15,5
Matchweek 30,14,13
Matchweek 31,18,18
Matchweek 32,32,11
Matchweek 33,13,5
Matchweek 29,17,4
Matchweek 35,14,10
Matchweek 36,25,8
Matchweek 37,17,5
Matchweek 34,16,13
,654,305
