Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss
Matchweek 1,Home,W,1.0,0.0,Wolverhampton Wanderers,2.2,2.2,51.0
Matchweek 2,Away,L,0.0,2.0,Tottenham Hotspur,2.1,1.7,45.0
Matchweek 3,Home,W,3.0,2.0,Nottingham Forest,2.8,1.2,66.0
Matchweek 4,Away,L,1.0,3.0,Arsenal,0.9,2.3,45.0
Matchweek 5,Home,L,1.0,3.0,Brighton & Hove Albion,1.0,1.7,44.0
Matchweek 6,Away,W,1.0,0.0,Burnley,1.0,1.1,39.0
Matchweek 7,Home,L,0.0,1.0,Crystal Palace,1.3,0.9,77.0
Matchweek 8,Home,W,2.0,1.0,Brentford,1.4,0.9,64.0
Matchweek 9,Away,W,2.0,1.0,Sheffield United,1.1,1.4,62.0
Matchweek 10,Home,L,0.0,3.0,Manchester City,0.9,4.0,40.0
Matchweek 11,Away,W,1.0,0.0,Fulham,0.7,1.0,55.0
Matchweek 12,Home,W,1.0,0.0,Luton Town,2.2,0.4,64.0
Matchweek 13,Away,W,3.0,0.0,Everton,2.2,2.4,49.0
Matchweek 14,Away,L,0.0,1.0,Newcastle United,0.5,2.4,42.0
Matchweek 15,Home,W,2.0,1.0,Chelsea,4.1,1.5,45.0
Matchweek 16,Home,L,0.0,3.0,Bournemouth,1.1,1.5,68.0
Matchweek 17,Away,D,0.0,0.0,Liverpool,0.8,2.3,32.0
Matchweek 18,Away,L,0.0,2.0,West Ham United,1.0,1.2,65.0
Matchweek 19,Home,W,3.0,2.0,Aston Villa,1.1,1.7,46.0
Matchweek 20,Away,L,1.0,2.0,Nottingham Forest,0.8,0.7,56.0
Matchweek 21,Home,D,2.0,2.0,Tottenham Hotspur,0.8,1.2,37.0
Matchweek 22,Away,W,4.0,3.0,Wolverhampton Wanderers,3.3,2.1,47.0
Matchweek 23,Home,W,3.0,0.0,West Ham United,0.7,1.4,51.0
Matchweek 24,Away,W,2.0,1.0,Aston Villa,1.8,2.4,44.0
Matchweek 25,Away,W,2.0,1.0,Luton Town,2.9,1.8,42.0
Matchweek 26,Home,L,1.0,2.0,Fulham,1.7,1.2,57.0
Matchweek 27,Away,L,1.0,3.0,Manchester City,0.2,3.3,27.0
Matchweek 28,Home,W,2.0,0.0,Everton,2.7,1.6,51.0
Matchweek 30,Away,D,1.0,1.0,Brentford,0.6,3.2,53.0
Matchweek 31,Away,L,3.0,4.0,Chelsea,1.5,3.0,43.0
Matchweek 32,Home,D,2.0,2.0,Liverpool,0.7,3.6,38.0
Matchweek 33,Away,D,2.0,2.0,Bournemouth,1.2,1.6,57.0
Matchweek 29,Home,W,4.0,2.0,Sheffield United,2.9,0.8,71.0
Matchweek 35,Home,D,1.0,1.0,Burnley,2.7,2.1,48.0
Matchweek 36,Away,L,0.0,4.0,Crystal Palace,0.4,1.7,57.0
Matchweek 37,Home,L,0.0,1.0,Arsenal,0.5,1.5,54.0
Matchweek 34,Home,W,3.0,2.0,Newcastle United,1.4,2.3,45.0
Matchweek 38,Away,,,,Brighton & Hove Albion,,,
