Round,Total_Cmp%
Matchweek 1,80.1
Matchweek 2,81.3
Matchweek 3,83.3
Matchweek 4,84.4
Matchweek 5,82.6
Matchweek 6,78.3
Matchweek 7,84.9
Matchweek 8,83.4
Matchweek 9,78.1
Matchweek 10,78.1
Matchweek 11,76.7
Matchweek 12,83.6
Matchweek 13,75.5
Matchweek 14,72.8
Matchweek 15,80.8
Matchweek 16,82.9
Matchweek 17,69.8
Matchweek 18,84.2
Matchweek 19,75.5
Matchweek 20,79.8
Matchweek 21,73.2
Matchweek 22,83.9
Matchweek 23,84.7
Matchweek 24,78.1
Matchweek 25,74.9
Matchweek 26,84.3
Matchweek 27,77.7
Matchweek 28,80.9
Matchweek 30,79.2
Matchweek 31,79.7
Matchweek 32,75.5
Matchweek 33,80.7
Matchweek 29,87.7
Matchweek 35,77.1
Matchweek 36,84.3
Matchweek 37,83.3
Matchweek 34,77.4
,80.7
